0,,,1,,,2,,, 
-0.033028,-0.000166, ,-0.085842,-0.002696, ,382.3543091,-330.6944626, , 
-0.032478,-0.000272, ,-0.09208,-0.001955, ,383.9390391,-330.547848, , 
-0.032389,-0.00037, ,-0.097776,-0.001041, ,385.5197409,-330.3625894, , 
-0.032773,-0.00044, ,-0.102365,0.000039, ,387.0991378,-330.1663287, , 
-0.033651,-0.00047, ,-0.105312,0.001274, ,388.683315,-330.0137006, , 
-0.035041,-0.000451, ,-0.106189,0.002649, ,390.2739017,-329.9603447, , 
-0.036917,-0.000377, ,-0.104689,0.004152, ,391.8635674,-330.0367547, , 
-0.039178,-0.000246, ,-0.10059,0.005764, ,393.4423085,-330.2381259, , 
-0.04161,-0.000062, ,-0.093721,0.007457, ,395.0056109,-330.5365439, , 
-0.043886,0.000167, ,-0.084048,0.009181, ,396.5533122,-330.9074472, , 
-0.045589,0.00043, ,-0.07181,0.010845, ,398.0807691,-331.3545511, , 
-0.046286,0.000712, ,-0.057534,0.012318, ,399.5686727,-331.9195487, , 
-0.045648,0.000998, ,-0.041845,0.013446, ,400.9721986,-332.6699444, , 
-0.043579,0.001271, ,-0.025192,0.014098, ,402.2120522,-333.667727, , 
-0.040278,0.001511, ,-0.007685,0.014203, ,403.1789216,-334.9317823, , 
-0.036179,0.001694, ,0.010887,0.013762, ,403.7601485,-336.4132584, , 
-0.031797,0.001797, ,0.030882,0.012827, ,403.8807985,-338.0000875, , 
-0.027572,0.001794, ,0.0525,0.011478, ,403.5374132,-339.5540292, , 
-0.023794,0.001668, ,0.075317,0.009807, ,402.8038492,-340.9663723, , 
-0.020596,0.001411, ,0.097755,0.007906, ,401.8055561,-342.2059625, , 
-0.017997,0.001034, ,0.116795,0.005864, ,400.6822125,-343.33358, , 
-0.015976,0.000571, ,0.128601,0.003768, ,399.5694247,-344.4715203, , 
-0.014562,0.000078, ,0.130356,0.001693, ,398.608546,-345.7401955, , 
-0.013882,-0.000379, ,0.122172,-0.000293, ,397.9552318,-347.1913119, , 
-0.014164,-0.000733, ,0.107109,-0.002134, ,397.7534628,-348.7698084, , 
-0.015668,-0.000932, ,0.089226,-0.003775, ,398.0807029,-350.327127, , 
-0.018588,-0.000943, ,0.071643,-0.005159, ,398.9065254,-351.6874774, , 
-0.022964,-0.000752, ,0.05596,-0.006224, ,400.1060546,-352.7334664, , 
-0.028592,-0.000361, ,0.042656,-0.006905, ,401.5250263,-353.4544531, , 
-0.034927,0.000213, ,0.031668,-0.00714, ,403.0449215,-353.9267987, , 
-0.040991,0.000938, ,0.022782,-0.006888, ,404.6029819,-354.2514386, , 
