1,,2,,3,,4,
361.8252474,-258.1591941,344.6074327,-349.8700558,382.3543091,-330.6944626,365.791508,-243.303818
360.8555911,-259.4464348,344.0109579,-351.2677186,383.9390391,-330.547848,365.8454435,-241.7107993
359.8506478,-260.7063096,343.2246987,-352.5681192,385.5197409,-330.3625894,366.0303995,-240.1276684
358.8520318,-261.9711757,342.2557324,-353.7387371,387.0991378,-330.1663287,366.3933938,-238.5756813
357.8828316,-263.2587212,341.123284,-354.7520496,388.683315,-330.0137006,366.9548416,-237.0839595
356.9361796,-264.5629749,339.8554645,-355.5898374,390.2739017,-329.9603447,367.6994779,-235.6746768
355.9733751,-265.8553637,338.4845727,-356.245531,391.8635674,-330.0367547,368.5844792,-234.3490048
354.9389502,-267.0911214,337.0417016,-356.7224141,393.4423085,-330.2381259,369.556983,-233.0861304
353.7874786,-268.2185644,335.5529876,-357.0274167,395.0056109,-330.5365439,370.5701796,-231.8556841
352.504535,-269.1938083,334.0394907,-357.1638455,396.5533122,-330.9074472,371.5925884,-230.6328864
351.1076252,-269.9974258,332.5202856,-357.1280785,398.0807691,-331.3545511,372.6102622,-229.4061407
349.6301292,-270.6410321,331.0159635,-356.9130267,399.5686727,-331.9195487,373.6229565,-228.1752806
348.1035019,-271.1573803,329.5489499,-356.5166858,400.9721986,-332.6699444,374.6367949,-226.9453641
346.5487168,-271.5814329,328.1386375,-355.9507839,402.2120522,-333.667727,375.6581424,-225.7216757
344.976491,-271.9353767,326.7928737,-355.2449625,403.1789216,-334.9317823,376.6923268,-224.5088155
343.3910612,-272.2244759,325.5003632,-354.4457532,403.7601485,-336.4132584,377.7462928,-223.3131033
341.7942561,-272.4421217,324.2288911,-353.6134507,403.8807985,-338.0000875,378.8305561,-222.1447971
340.1884726,-272.5785354,322.9325466,-352.8204427,403.5374132,-339.5540292,379.9565122,-221.0166277
338.5776772,-272.628421,321.568353,-352.1509104,402.8038492,-340.9663723,381.1299585,-219.9379416
336.9664456,-272.5953894,320.1182274,-351.696691,401.8055561,-342.2059625,382.3461083,-218.9076259
335.3581414,-272.4927893,318.6064469,-351.5430832,400.6822125,-343.33358,383.5905218,-217.9116239
333.7537114,-272.341207,317.1004452,-351.7455574,399.5694247,-344.4715203,384.8455336,-216.9290221
332.1519935,-272.1632588,315.6893135,-352.3092908,398.608546,-345.7401955,386.0987423,-215.9441262
