0,,1,,2,,3,,4,
361.8252474,-258.1591941,344.6074327,-349.8700558,377.1552778,-395.0828784,424.3507375,-230.5062238,382.3543091,-330.6944626
360.8555911,-259.4464348,344.0109579,-351.2677186,378.6870099,-395.3521179,422.798365,-230.7312823,383.9390391,-330.547848
359.8506478,-260.7063096,343.2246987,-352.5681192,380.2287617,-395.5561809,421.2451655,-230.9505652,385.5197409,-330.3625894
358.8520318,-261.9711757,342.2557324,-353.7387371,381.7748767,-395.724048,419.6916145,-231.1673426,387.0991378,-330.1663287
357.8828316,-263.2587212,341.123284,-354.7520496,383.3244215,-395.8565774,418.1384157,-231.3866275,388.683315,-330.0137006
356.9361796,-264.5629749,339.8554645,-355.5898374,384.877502,-395.9376356,416.5860241,-231.611556,390.2739017,-329.9603447
355.9733751,-265.8553637,338.4845727,-356.245531,386.4326476,-395.9498021,415.0343943,-231.8416823,391.8635674,-330.0367547
354.9389502,-267.0911214,337.0417016,-356.7224141,387.986489,-395.8848332,413.4829956,-232.0733617,393.4423085,-330.2381259
353.7874786,-268.2185644,335.5529876,-357.0274167,389.5353044,-395.7440289,411.9309583,-232.3007255,395.0056109,-330.5365439
352.504535,-269.1938083,334.0394907,-357.1638455,391.0758237,-395.5308225,410.3772522,-232.5163892,396.5533122,-330.9074472
351.1076252,-269.9974258,332.5202856,-357.1280785,392.6040499,-395.2424082,408.8210012,-232.7128389,398.0807691,-331.3545511
349.6301292,-270.6410321,331.0159635,-356.9130267,394.113114,-394.8664065,407.2619753,-232.8858853,399.5686727,-331.9195487
348.1035019,-271.1573803,329.5489499,-356.5166858,395.5916065,-394.3840186,405.7009169,-233.0395503,400.9721986,-332.6699444
346.5487168,-271.5814329,328.1386375,-355.9507839,397.0232466,-393.7765312,404.1394424,-233.1889614,402.2120522,-333.667727
344.976491,-271.9353767,326.7928737,-355.2449625,398.3877552,-393.030366,402.5799023,-233.3573218,403.1789216,-334.9317823
343.3910612,-272.2244759,325.5003632,-354.4457532,399.6614223,-392.1379329,401.0252893,-233.5662837,403.7601485,-336.4132584
341.7942561,-272.4421217,324.2288911,-353.6134507,400.8155963,-391.0955509,399.478032,-233.8241533,403.8807985,-338.0000875
340.1884726,-272.5785354,322.9325466,-352.8204427,401.8133349,-389.9025755,397.9374241,-234.1192195,403.5374132,-339.5540292
338.5776772,-272.628421,321.568353,-352.1509104,402.6074299,-388.5653977,396.398559,-234.4232279,402.8038492,-340.9663723
336.9664456,-272.5953894,320.1182274,-351.696691,403.1444867,-387.1059013,394.8552959,-234.7039906,401.8055561,-342.2059625
335.3581414,-272.4927893,318.6064469,-351.5430832,403.3776464,-385.568327,393.3046583,-234.9406646,400.6822125,-343.33358
333.7537114,-272.341207,317.1004452,-351.7455574,403.2844892,-384.0159691,391.7479344,-235.1333741,399.5694247,-344.4715203
332.1519935,-272.1632588,315.6893135,-352.3092908,402.8804047,-382.5142115,390.1883734,-235.3015952,398.608546,-345.7401955
330.551198,-271.9772104,314.4485806,-353.1866711,402.2182552,-381.1070075,388.6290971,-235.4723612,397.9552318,-347.1913119
328.9503044,-271.7920011,313.4110937,-354.2970611,401.3745279,-379.8005367,387.0724633,-235.6657321,397.7534628,-348.7698084
327.3494878,-271.6061201,312.560704,-355.5565151,400.432192,-378.5633001,385.5194151,-235.8860927,398.0807029,-350.327127
325.7497958,-271.4108037,311.8491496,-356.8992835,399.4709873,-377.340678,383.9688257,-236.1231419,398.9065254,-351.6874774
324.152708,-271.1952295,311.2217318,-358.2833459,398.5672982,-376.074967,382.4182133,-236.3600215,400.1060546,-352.7334664
322.5599028,-270.9500035,310.6362839,-359.6856714,397.7976037,-374.7235984,380.8654929,-236.5826589,401.5250263,-353.4544531
320.9734622,-270.6664969,310.0694318,-361.0956171,397.2377825,-373.2726812,379.3100614,-236.785501,403.0449215,-353.9267987
319.3968877,-270.3324412,309.5132349,-362.5098003,396.9541397,-371.7436114,377.7526196,-236.9722907,404.6029819,-354.2514386
317.8372564,-269.9265473,308.9683006,-363.9283612,396.9885512,-370.1888373,376.1945032,-237.1533668,406.1749362,-354.5001964
316.3087579,-269.4157585,308.4378297,-365.3523937,397.3464561,-368.6754081,374.637235,-237.3415915,407.7539697,-354.6991678
314.8372828,-268.7585357,307.924132,-366.7825625,397.9968045,-367.2627199,373.0822875,-237.5481029,409.3388931,-354.8437934
313.4633471,-267.9162905,307.4271676,-368.2186317,398.8851282,-365.9861752,371.5306969,-237.7784857,410.9283216,-354.925147
312.2368359,-266.8710085,306.9441882,-369.6594648,399.9515305,-364.8541542,369.9824565,-238.0304115,412.5196683,-354.9487625
311.1970684,-265.6398257,306.4699983,-371.1032145,401.1437687,-363.8555374,368.4361991,-238.2942383,414.1111488,-354.9371594
310.3419561,-264.2738178,305.9977553,-372.5476023,402.4218045,-362.9693766,366.88977,-238.5570474,415.7025566,-354.9187509
309.6061853,-262.8398827,305.5202196,-373.9902486,403.7565601,-362.1712012,365.3414251,-238.8083203,417.2940596,-354.9128701
308.8717973,-261.405299,305.031288,-375.4290723,405.1272362,-361.436421,363.7905982,-239.0437972,418.8855624,-354.9203665
308.013516,-260.0413767,304.5279297,-376.862912,406.5196949,-360.743812,362.2376531,-239.2648751,420.4770791,-354.9241217
306.9519806,-258.8289555,304.0129989,-378.2926372,407.9260966,-360.0799741,360.6830776,-239.4741803,422.0683814,-354.8981852
305.6792036,-257.8405147,303.4991326,-379.7227504,409.3445757,-359.4423489,359.1269037,-239.6712507,423.658003,-354.8207067
