1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,32,,33,,34,,35,,36,,37,,38,,39,,40,,41,,42,,43,,44,,45,,46,,47,,48,,49,,50,,51,,52,,53,,54,,55,,56,,57,,58,,59,,60,,61,,62,,63,,64,,65,,66,,67,,68,,69,
361.8252474,-258.1591941,344.6074327,-349.8700558,361.5413965,-327.9010153,377.1552778,-395.0828784,379.3111357,-364.7109988,329.7625765,-353.3662169,363.0441692,-232.1220008,305.4925355,-228.7864533,311.2771662,-326.4454891,350.2801014,-213.6265565,444.0436643,-258.2874577,277.7493942,-213.8402509,348.7530294,-314.5617965,348.5483626,-327.2070566,360.0595914,-244.38164,382.6768595,-331.1484062,332.2981952,-244.2268199,299.9340032,-324.105492,385.3375186,-154.5417641,333.5448116,-354.704346,366.8646062,-299.8025864,285.0892496,-340.1093775,356.9960245,-319.7627738,389.5202896,-219.6858465,390.9673168,-363.3237995,334.2038896,-352.5483628,373.3220054,-311.616721,365.9315494,-210.9157014,348.0032664,-335.5841888,347.2280533,-343.7333323,428.4533362,-240.8384572,359.206915,-359.7127311,398.9254993,-134.6177581,325.0641311,-339.7611025,388.742897,-167.6920156,402.9606352,-214.2193304,412.9979594,-241.0582455,330.7428172,-322.6428072,389.8780312,-357.1731046,361.2364727,-201.4858235,426.5148433,-252.1359544,346.7274753,-254.0546763,388.734444,-187.2830518,308.8218945,-342.5506221,417.4852605,-226.1256976,484.0492897,-200.3000519,326.3182079,-357.6149476,400.3835136,-342.2010716,339.1117414,-350.0131295,386.2932536,-218.0635729,349.2591365,-357.6653001,424.3507375,-230.5062238,431.0148492,-191.5667473,461.1751268,-268.3430497,326.0381322,-327.4535361,318.5639058,-337.4069992,456.3181091,-216.0320188,328.1630601,-206.1632139,400.6204211,-326.4538768,382.3543091,-330.6944626,396.6826297,-369.7690809,378.7507851,-395.4658801,333.5920122,-281.0311508,405.9646131,-180.3789509,310.0756474,-234.2537486,325.23526,-330.5636082,325.1427571,-303.4446576,319.6145194,-283.0117136,365.791508,-243.303818
360.8555911,-259.4464348,344.0109579,-351.2677186,363.0101773,-328.5052705,378.6870099,-395.3521179,380.6425032,-365.5594608,330.9885869,-354.3478424,361.4790773,-232.0963234,303.9351556,-228.395448,310.2871028,-327.5867934,349.0505354,-212.7499306,442.5550612,-258.0442111,277.5192936,-215.3184934,347.8052589,-315.8147149,350.1122593,-326.9575271,358.5347875,-244.0762795,382.4971716,-332.721808,332.8235895,-245.7140827,300.9326038,-325.2755401,383.7802461,-154.7630294,334.3128025,-356.0624072,368.3617803,-300.2129307,286.1804198,-341.1807624,356.9532153,-321.3002941,390.448865,-220.8572122,391.4361984,-364.7696031,335.1926819,-351.3892629,374.7875811,-312.1902772,364.6626774,-210.044678,348.3944884,-334.0712316,348.6671838,-344.3030405,428.1344672,-239.3659086,360.6761947,-360.2259089,397.5933347,-133.769485,325.1042212,-341.3080196,387.2542048,-167.5587425,401.5306178,-214.7871311,412.8512027,-242.6016386,331.8101938,-323.7794171,390.3876959,-358.6627,359.6968452,-201.7511079,427.2147539,-250.7224518,346.6777063,-252.5048341,387.4110785,-188.1808031,310.0658825,-343.431097,417.8337104,-224.6180113,482.8184637,-199.380147,327.7740093,-357.1136878,400.0872393,-340.7248481,338.1889292,-351.2280539,384.7200267,-218.093617,350.7773856,-358.117149,422.798365,-230.7312823,429.7263471,-192.4678476,460.035553,-269.4705151,326.8079219,-326.128123,318.2736436,-338.9876872,454.7352163,-216.1772144,328.959387,-207.5147305,402.0573555,-326.1106065,383.9390391,-330.547848,397.7272273,-368.5071638,380.2754941,-395.2589216,331.9748358,-281.0629553,404.4087543,-180.2280149,309.054289,-235.4782432,326.760545,-330.9322524,326.5281535,-304.0708375,318.1164917,-282.5597407,365.8454435,-241.7107993
359.8506478,-260.7063096,343.2246987,-352.5681192,364.4556389,-329.1633711,380.2287617,-395.5561809,382.1027414,-366.1596803,332.450612,-354.9218548,359.9139747,-232.0710973,302.3366668,-228.2433882,309.2584686,-328.693617,347.9943054,-211.6706707,441.0573596,-257.8656267,277.5847689,-216.8130909,346.8400964,-317.0542305,351.684569,-326.7678457,357.0070355,-243.7859896,382.4322141,-334.3039847,333.3413761,-247.204012,301.9126927,-326.4611461,382.2466745,-155.1125291,335.1310717,-357.3907612,369.8553459,-300.6362299,287.4010209,-342.101981,356.7025331,-322.8178664,391.2068737,-222.145503,391.7706121,-366.252298,336.1638091,-350.2153226,376.1923893,-312.899789,363.4043781,-209.1584598,348.8220003,-332.56807,350.1061017,-344.8732818,427.6593379,-237.9361094,362.1963892,-360.5589947,396.0911583,-133.2820529,325.1890317,-342.853126,385.7658388,-167.4218264,400.1124342,-215.3838682,412.674663,-244.1419022,332.8786381,-324.9150158,390.6577807,-360.2137503,358.1566032,-202.0128221,427.9379968,-249.320737,346.5229085,-250.9618897,386.1365138,-189.1465841,311.4236993,-344.1232573,418.2053318,-223.1158673,481.5541926,-198.5067851,329.1285467,-356.3817298,399.7183562,-339.2650745,337.5675696,-352.6214342,383.1468756,-218.1271607,352.360961,-358.0861072,421.2451655,-230.9505652,428.3925636,-193.3004682,458.754816,-270.4346786,327.3214542,-324.6839212,317.7085599,-340.4922402,453.1669335,-216.4361686,329.6564999,-208.9200142,403.5346949,-326.1080797,385.5197409,-330.3625894,398.7805165,-367.2525196,381.8103815,-395.3660922,330.3863093,-280.758757,402.849178,-180.1222683,308.0717552,-236.7341075,328.2857341,-331.3012911,327.9209437,-304.6803951,316.5865654,-282.23159,366.0303995,-240.1276684
358.8520318,-261.9711757,342.2557324,-353.7387371,365.8677,-329.8904004,381.7748767,-395.724048,383.6365457,-366.534076,334.0109638,-355.1030862,358.3490196,-232.0382303,300.7336414,-228.3362815,308.2867141,-329.8507045,347.0666763,-210.4790865,439.5564319,-257.7165075,277.9467465,-218.2646994,345.9177467,-318.3259014,353.2676466,-326.7232238,355.4822329,-243.4804875,382.6468347,-335.8727156,333.85998,-248.6936578,302.8951947,-327.6447468,380.7741407,-155.6652525,335.9696404,-358.7064028,371.3468135,-301.0668591,288.7348729,-342.8498669,356.3278676,-324.3096505,391.7424884,-223.5409663,391.9780932,-367.7580127,337.133421,-349.0401354,377.5353579,-313.7203526,362.1686376,-208.241049,349.3574793,-331.0998994,351.5426191,-345.4495453,427.0999521,-236.537155,363.7515558,-360.6159868,394.5132799,-133.2152521,325.3218115,-344.3948522,384.276321,-167.2980243,398.7080271,-216.0123543,412.4560992,-245.6767717,333.9307975,-326.0657084,390.7225936,-361.7868004,356.6172481,-202.279693,428.6583776,-247.9175587,346.2790568,-249.43047,384.9227563,-190.1877577,312.8701946,-344.6032369,418.5916712,-221.6174391,480.2575331,-197.6822767,330.326064,-355.4140342,399.2744119,-337.8263511,337.2939208,-354.1223599,381.5733839,-218.1225782,353.8362198,-357.5097701,419.6916145,-231.1673426,426.9986788,-194.0283198,457.3636031,-271.2312407,327.6867087,-323.1953634,316.9196448,-341.8924962,451.6057568,-216.7348829,330.1682685,-210.4028278,404.9667101,-326.4712996,387.0991378,-330.1663287,399.8672881,-366.0267747,383.2740861,-395.8403287,328.9204801,-280.0752646,401.2870274,-180.0661159,307.1352128,-238.0246396,329.8096293,-331.6756361,329.3197574,-305.276002,315.030707,-282.0653255,366.3933938,-238.5756813
357.8828316,-263.2587212,341.123284,-354.7520496,367.2216493,-330.7206587,383.3244215,-395.8565774,385.2016975,-366.7415242,335.5787219,-355.0035235,356.7843786,-231.9927242,299.1598929,-228.6552019,307.5037934,-331.1428717,346.1985881,-209.2434876,438.0526007,-257.6000857,278.5641631,-219.6274674,345.076434,-319.6525919,354.8382875,-326.9257173,353.9735444,-243.1033019,383.253608,-337.3351175,334.3912281,-250.1788397,303.9028902,-328.8069645,379.4240431,-156.4720862,336.8259165,-360.0105881,372.8377417,-301.4993492,290.157926,-343.4096911,355.8996664,-325.7869321,392.0194282,-225.0098132,392.0811293,-369.2744625,338.1139081,-347.8740079,378.8096183,-314.6440218,360.9603582,-207.2877555,350.0913506,-329.7202547,352.9765606,-346.0321893,426.5063713,-235.1523733,365.2822921,-360.3355808,392.9714825,-133.5576079,325.4931033,-345.9327844,382.78382,-167.2178205,397.31465,-216.6649336,412.2018392,-247.2061396,334.9587636,-327.238075,390.6166841,-363.3576068,355.0810484,-202.5641528,429.3496161,-246.4998025,345.9901883,-247.9069177,383.7785332,-191.3048987,314.3760514,-344.8378572,418.9756592,-220.1184053,478.9335909,-196.9023162,331.318142,-354.2366209,398.7562333,-336.4126678,337.3645467,-355.6464335,380.0016513,-218.048177,355.0403798,-356.4805136,418.1384157,-231.3866275,425.5698106,-194.684815,455.8963221,-271.8770562,328.0078612,-321.6967297,315.9629527,-343.1839355,450.0426407,-217.0232543,330.3937931,-211.9550917,406.2718921,-327.163587,388.683315,-330.0137006,400.9956852,-364.8392181,384.573553,-396.6642639,327.6780597,-279.0397143,399.7239273,-180.0516844,306.2645674,-239.3605271,331.3319526,-332.0563254,330.7216656,-305.8642886,313.4662795,-282.0950596,366.9548416,-237.0839595
356.9361796,-264.5629749,339.8554645,-355.5898374,368.4735366,-331.6980273,384.877502,-395.9376356,386.776721,-366.8508108,337.1328543,-354.7752644,355.2197803,-231.9455163,297.6363349,-229.1623601,307.0636585,-332.5880354,345.3234492,-208.0128829,436.5451314,-257.5496413,279.3701092,-220.8879646,344.3320361,-321.0360032,356.3276695,-327.4636911,352.5098355,-242.5780041,384.2649349,-338.5533473,334.9453528,-251.6556358,304.9508685,-329.9329936,378.2683604,-157.5389089,337.7096808,-361.2963006,374.3270945,-301.9372472,291.6413423,-343.7811469,355.4597555,-327.26077,392.0330922,-226.5045047,392.115286,-370.7940325,339.1089779,-346.7202954,379.9932045,-315.681334,359.7765465,-206.3042388,351.087942,-328.5167125,354.4087183,-346.619204,425.8999202,-233.7731728,366.7079503,-359.7115819,391.5416377,-134.2285466,325.6823541,-347.4686074,381.289168,-167.2201256,395.9269202,-217.3294313,411.9310957,-248.732673,335.9678546,-328.4267307,390.3674722,-364.9121178,353.5495747,-202.8730556,429.9951598,-245.0606622,345.698551,-246.383907,382.7076423,-192.492519,315.8994188,-344.7941427,419.3340815,-218.6130549,477.5924576,-196.1522964,332.0834778,-352.9006236,398.1689044,-335.0262845,337.7298106,-357.1278109,378.4359804,-217.8914675,355.9608312,-355.1905507,416.5860241,-231.611556,424.1362095,-195.330765,454.3785682,-272.3931887,328.3495845,-320.2026424,314.8757961,-344.3676346,448.4736817,-217.2779581,330.2510623,-213.5170956,407.4120744,-328.1032263,390.2739017,-329.9603447,402.1560836,-363.6829048,385.65365,-397.7602263,326.7117459,-277.742572,398.1607846,-180.0600178,305.4984227,-240.7589646,332.8532927,-332.4409244,332.1229774,-306.4539931,311.9215914,-282.3445266,367.6994779,-235.6746768
355.9733751,-265.8553637,338.4845727,-356.245531,369.5580702,-332.8582684,386.4326476,-395.9498021,388.3542857,-366.9133013,338.6875686,-354.5516028,353.6546075,-231.9247793,296.1697979,-229.8163445,307.0899209,-334.0984523,344.3893922,-206.8263782,435.0379031,-257.6062449,280.2960672,-222.0631056,343.685568,-322.4677996,357.625024,-328.3716774,351.1482629,-241.8267592,385.5920832,-339.4169635,335.5243683,-253.1228539,306.0426804,-331.0165793,377.3609933,-158.823625,338.6302906,-362.5558968,375.8099203,-302.3967681,293.1573191,-343.982055,355.0190083,-328.7343656,391.8139697,-227.9831408,392.1265285,-372.3139468,340.1137291,-345.575003,381.0465899,-316.8506005,358.6085834,-205.3019536,352.3455615,-327.5893481,355.8393502,-347.2099277,425.2790876,-232.4003879,367.9626366,-358.7908404,390.2313647,-135.1105614,325.871198,-349.0044687,379.7999572,-167.3475568,394.5410232,-217.9977439,411.6645035,-250.2599324,336.9696467,-329.6215364,390.001281,-366.4432964,352.0229558,-203.2051288,430.5907556,-243.6001401,345.4246369,-244.8576013,381.7074198,-193.7402407,317.3858543,-344.4578994,419.640779,-217.0963218,476.2457135,-195.4124088,332.6368337,-351.4637854,397.5218421,-333.6667512,338.3158243,-358.5365346,376.8789121,-217.664627,356.7621435,-353.8236097,415.0343943,-231.8416823,422.7166764,-196.0071088,452.8248494,-272.7880541,328.7315856,-318.7183266,313.6699018,-345.4301049,446.8994879,-217.4980306,329.7158589,-214.9914908,408.4057251,-329.1966817,391.8635674,-330.0367547,403.3311124,-362.5414701,386.5247585,-399.0287197,325.9952933,-276.2923023,396.5976671,-180.0715215,304.8912632,-242.2333631,334.374498,-332.8260553,333.5203385,-307.0529978,310.4310835,-282.820628,368.5844792,-234.3490048
354.9389502,-267.0911214,337.0417016,-356.7224141,370.3953042,-334.2078204,387.986489,-395.8848332,389.9326576,-366.9503703,340.2522782,-354.4141423,352.0898979,-231.9677367,294.7614313,-230.5876511,307.6084251,-335.5173931,343.3608496,-205.7207809,433.5416117,-257.7961718,281.2890108,-223.1821983,343.1348573,-323.9390826,358.6161795,-329.6066879,349.980547,-240.799863,387.0991762,-339.902962,336.1174392,-254.5844536,307.1720257,-332.0609922,376.7107766,-160.2558312,339.5931999,-363.7834645,377.277294,-302.9034579,294.6852554,-344.0451561,354.5662827,-330.2043222,391.4156089,-229.4238738,392.1649709,-373.8334044,341.1190792,-344.430239,381.9203338,-318.1595243,357.4462825,-204.2931096,353.7931451,-327.0008806,357.2674725,-347.8066931,424.6338477,-231.0389105,369.0212325,-357.6500234,388.9885745,-136.0853013,326.0646259,-350.5397841,378.3346423,-167.6422244,393.1573002,-218.6705486,411.4132996,-251.7897994,337.969768,-330.8177482,389.5565944,-367.953573,350.5006346,-203.5563737,431.1419249,-242.1222788,345.1617304,-243.3293531,380.7674201,-195.0339433,318.7823782,-343.8476732,419.8692553,-215.5658502,474.9020237,-194.6669912,333.0204021,-349.9726202,396.8266589,-332.331183,339.0497095,-359.8741743,375.3266835,-217.4066107,357.6665207,-352.5232322,413.4829956,-232.0733617,421.3137218,-196.7172448,451.2435709,-273.0516711,329.1439176,-317.2421502,312.3436897,-346.3378829,445.3223638,-217.6960108,328.8372385,-216.2909448,409.3106641,-330.3645795,393.4423085,-330.2381259,404.5059786,-361.39987,387.2501667,-400.3857781,325.4415354,-274.7724974,395.0345178,-180.0781989,304.4989157,-243.7788234,335.8960715,-333.2097297,334.9117572,-307.6656794,309.0263093,-283.5097714,369.556983,-233.0861304
353.7874786,-268.2185644,335.5529876,-357.0274167,370.9110471,-335.7098762,389.5353044,-395.7440289,391.5114449,-366.9579098,341.8228,-354.3862255,350.5308654,-232.1075127,293.417026,-231.4657003,308.5277445,-336.7164368,342.2179554,-204.7338573,432.0684121,-258.1197559,282.3163881,-224.2697605,342.6830246,-325.4436738,359.2363054,-331.0638398,349.1187969,-239.5055179,388.6727573,-340.0805715,336.7018815,-256.0495232,308.326795,-333.0772252,376.2755701,-161.7673513,340.6052966,-364.9708121,378.7168821,-303.4843966,296.2140097,-344.0068956,354.0833521,-331.6646286,390.8952958,-230.8251745,392.2746741,-375.3493731,342.1173199,-343.2792703,382.5727162,-319.5916932,356.2814255,-203.2872187,355.3326242,-326.7320389,358.6911232,-348.4140486,423.9605069,-229.6911056,369.90299,-356.3675985,387.7398193,-137.0522877,326.3084088,-352.067966,376.9255055,-168.1405039,391.7793262,-219.3550461,411.1737458,-253.321538,338.9629448,-332.0197263,389.0939575,-369.4584783,348.9838366,-203.9307707,431.6599067,-240.6324609,344.8826653,-241.8039751,379.8699,-196.3574723,320.0564871,-343.0113619,419.9933948,-214.0234036,473.5644235,-193.9106952,333.2850218,-348.4558365,396.09295,-331.0163856,339.8753804,-361.1571771,373.7693413,-217.1814304,358.8063506,-351.423254,411.9309583,-232.3007255,419.9176728,-197.4408334,449.6443139,-273.1624635,329.5670976,-315.7690512,310.9034773,-347.0510374,443.7445477,-217.888384,327.713731,-217.3857388,410.1931238,-331.5495177,395.0056109,-330.5365439,405.6731155,-360.2503667,387.9072851,-401.7771339,324.9503905,-273.2313836,393.4713897,-180.0892876,304.3560925,-245.3669091,337.418057,-333.5917662,336.2973166,-308.2915001,307.7258263,-284.37989,370.5701796,-231.8556841
352.504535,-269.1938083,334.0394907,-357.1638455,371.0668754,-337.2903419,391.0758237,-395.5308225,393.0898011,-366.9204718,343.3924624,-354.4455696,348.9859979,-232.3595063,292.1514094,-232.4539139,309.6944224,-337.6767873,340.9570226,-203.9030324,430.6245226,-258.5559082,283.3627727,-225.3390483,342.3397258,-326.9766715,359.5005104,-332.6253399,348.6580429,-238.0203836,390.2562346,-340.0682278,337.2509205,-257.5282132,309.4928519,-334.0804858,375.9817822,-163.3125757,341.6814367,-366.1004459,380.1143574,-304.1603839,297.7390232,-343.8934248,353.5579186,-333.1101881,390.2982567,-232.195534,392.484177,-376.8548035,343.1048061,-342.1190601,382.9895372,-321.1092815,355.1093274,-202.2897744,356.8946035,-326.6796296,360.1081693,-349.0366563,423.2696912,-228.3521645,370.6578265,-355.0066013,386.4288129,-137.9329968,326.6884193,-353.5680653,375.6185271,-168.8655669,390.4107117,-220.0580697,410.9280623,-254.8523066,339.9435113,-333.2319948,388.6952055,-370.9815363,347.4791481,-204.3512648,432.1579946,-239.1358747,344.5518601,-240.2889806,378.9934997,-197.6950769,321.2026894,-342.0068695,419.9865188,-212.4759845,472.230866,-193.1472941,333.475332,-346.9279564,395.3240765,-329.7218373,340.7571141,-362.4023125,372.1997549,-217.0703747,360.1777128,-350.6301654,410.3772522,-232.5163892,418.5179774,-198.1573385,448.0424301,-273.1003885,329.9853452,-314.2945439,309.3752697,-347.5484876,442.1676828,-218.0883999,326.4490221,-218.313829,411.1033106,-332.7132823,396.5533122,-330.9074472,406.8308218,-359.0913661,388.5512254,-403.1746313,324.4494009,-271.6934461,391.9086774,-180.1267706,304.4593389,-246.9581073,338.940321,-333.9726915,337.6793224,-308.925131,306.5298863,-285.3889141,371.5925884,-230.6328864
